Ref,Val,Package,PosX,PosY,Rot,Side
"C6","10uF","C_0805_2012Metric",-6.590000,10.174000,-90.000000,bottom
"C7","10uF","C_0805_2012Metric",-13.208000,8.410000,180.000000,bottom
"C9","22uF","C_0805_2012Metric",-9.892000,10.857500,0.000000,bottom
"C10","22uF","C_0805_2012Metric",-17.526000,8.664000,0.000000,bottom
"F1","500mA","Fuse_0603_1608Metric",-16.535500,20.348000,90.000000,bottom
"FB2","100 @ 100MHz","L_0805_2012Metric",-14.732000,20.426500,-90.000000,bottom
"J1","RECEIVER","Molex_PicoBlade_53261-0371_1x03-1MP_P1.25mm_Horizontal",-15.250000,27.214000,0.000000,bottom
"J2","BAT/MOTORS","Molex_PicoBlade_53261-0671_1x06-1MP_P1.25mm_Horizontal",-14.986000,2.822000,180.000000,bottom
"R8","180K","R_0603_1608Metric",-18.059500,20.373500,-90.000000,bottom
"R9","100K","R_0603_1608Metric",-19.558000,20.373500,90.000000,bottom
"U1","AMS1117-5.0","SOT-223-3_TabPin2",-8.876000,16.445500,90.000000,bottom
"U2","AMS1117-3.3","SOT-223-3_TabPin2",-16.524000,14.100000,90.000000,bottom
