Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22pF","C_0603_1608Metric",2.238490,17.920250,180.000000,top
"C2","100nF","C_0603_1608Metric",8.128000,13.658000,180.000000,top
"C3","22pF","C_0603_1608Metric",2.238490,9.538250,180.000000,top
"C4","100nF","C_0603_1608Metric",23.641711,19.586000,90.000000,top
"C5","10uF","C_0603_1608Metric",8.128000,12.134000,180.000000,top
"C8","100nF","C_0603_1608Metric",21.508625,10.454750,-90.000000,top
"C11","10nF","C_0603_1608Metric",28.462000,19.586000,90.000000,top
"C12","100nF","C_0603_1608Metric",14.711375,20.250250,-90.000000,top
"C13","100nF","C_0603_1608Metric",21.508625,13.756750,90.000000,top
"C14","100nF","C_0603_1608Metric",25.400000,19.586000,90.000000,top
"C15","2.2nF","C_0603_1608Metric",24.510290,10.873500,-90.000000,top
"G***","LOGO","VeryVerySmallCow",7.112000,20.094000,0.000000,top
"J3","BUZZER","PinHeader_1x02_P1.00mm_Vertical_SMD_Pin1Right",11.606400,3.584000,90.000000,top
"J12","FTDI","Molex_PicoBlade_53261-0471_1x04-1MP_P1.25mm_Horizontal",15.240000,27.206000,180.000000,top
"J13","ICSP","PinHeader_1x06_P1.00mm_Vertical_SMD_Pin1Right",16.764000,3.584000,-90.000000,top
"R1","4.7K","R_0603_1608Metric",27.558290,10.873500,90.000000,top
"R2","4.7K","R_0603_1608Metric",26.938000,19.586000,90.000000,top
"R3","1M","R_0603_1608Metric",5.842000,9.934000,-90.000000,top
"R4","4.7K","R_0603_1608Metric",26.034290,10.873500,90.000000,top
"R5","10K","R_0603_1608Metric",13.208000,21.364000,-90.000000,top
"SW1","SW_Push","SW_Push_1P1T_NO_CK_KMR2",18.619375,21.618000,0.000000,top
"U3","ATmega328P-AU","TQFP-32_7x7mm_P0.8mm",15.218375,13.302500,0.000000,top
"U4","MPU-6050","InvenSense_QFN-24_4x4mm_P0.5mm",25.766290,15.205500,180.000000,top
"Y1","16MHz","Crystal_SMD_5032-2Pin_5.0x3.2mm",2.363990,13.683500,-90.000000,top
